Scope 1,,,,
,,,,
Mobile Combustion,,,,
Fuel,Emission Factor,Unit,Activity Unit,Source
,0.24677,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Fuel oil,3228.89019,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,3.17492,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.28523,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.26813,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Gas oil,3226.57859,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,2.75541,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.27288,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.25650,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Lubricants,3180.99992,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
Lubricants,2.74934,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
Lubricants,0.28100,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
Lubricants,0.26414,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Naphtha,3142.37890,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
Naphtha,2.11894,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
Naphtha,0.24891,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
Naphtha,0.23647,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Processed fuel oils - residual oil,3228.89019,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,3.17492,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.28523,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.26813,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Processed fuel oils - distillate oil,3226.57859,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,2.75541,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.27288,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.25650,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Refinery miscellaneous,2944.32093,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,n/a,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.25961,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.24663,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Waste oils,3219.37916,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
Waste oils,2.74924,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
